sku,dates,price,qty
10230,09/08/19,1229.0,4
10230,10/08/19,1229.0,6
10230,11/08/19,1229.0,6
10230,12/08/19,1220.0,3
10230,13/08/19,1220.0,4
10230,14/08/19,1220.0,5
10230,15/08/19,1220.0,6
10230,16/08/19,1220.0,4
10230,17/08/19,1220.0,5
10230,18/08/19,1220.0,5
10230,19/08/19,1217.0,4
10230,20/08/19,1217.0,3
10230,21/08/19,1217.0,5
10230,22/08/19,1217.0,5
10230,23/08/19,1217.0,5
10230,24/08/19,1217.0,5
10230,25/08/19,1217.0,6
10230,26/08/19,1218.0,5
10230,27/08/19,1218.0,3
10230,28/08/19,1218.0,5
10230,29/08/19,1218.0,4
10230,30/08/19,1218.0,5
10230,31/08/19,1218.0,5
10230,01/09/19,1218.0,4
10230,02/09/19,1232.0,5
10230,03/09/19,1232.0,5
10230,04/09/19,1232.0,4
10230,05/09/19,1232.0,4
10230,06/09/19,1232.0,5
10230,07/09/19,1232.0,7
10230,08/09/19,1232.0,6
10230,09/09/19,1223.0,5
10230,10/09/19,1223.0,5
10230,11/09/19,1223.0,6
10230,12/09/19,1223.0,6
10230,13/09/19,1223.0,5
10230,14/09/19,1223.0,5
10230,15/09/19,1223.0,4
10230,16/09/19,1235.0,5
10230,17/09/19,1235.0,4
10230,18/09/19,1235.0,4
10230,19/09/19,1235.0,5
10230,20/09/19,1235.0,5
10230,21/09/19,1235.0,5
10230,22/09/19,1235.0,5
10230,23/09/19,1223.0,4
10230,24/09/19,1223.0,7
10230,25/09/19,1223.0,5
10230,26/09/19,1223.0,5
10230,27/09/19,1223.0,5
10230,28/09/19,1223.0,6
10230,29/09/19,1223.0,7
10230,30/09/19,1239.0,6
10230,01/10/19,1239.0,5
10230,02/10/19,1239.0,6
10230,03/10/19,1239.0,4
10230,04/10/19,1239.0,6
10230,05/10/19,1239.0,4
10230,06/10/19,1239.0,4
10230,07/10/19,1236.0,5
10230,08/10/19,1236.0,4
10230,09/10/19,1236.0,4
10230,10/10/19,1236.0,6
10230,11/10/19,1236.0,6
10230,12/10/19,1236.0,5
10230,13/10/19,1236.0,5
10230,14/10/19,1225.0,4
10230,15/10/19,1225.0,3
10230,16/10/19,1225.0,5
10230,17/10/19,1225.0,5
10230,18/10/19,1225.0,4
10230,19/10/19,1225.0,5
10230,20/10/19,1225.0,6
10230,21/10/19,1220.0,5
10230,22/10/19,1220.0,6
10230,23/10/19,1220.0,5
10230,24/10/19,1220.0,5
10230,25/10/19,1220.0,3
10230,26/10/19,1220.0,5
10230,27/10/19,1220.0,4
10230,28/10/19,1243.0,5
10230,29/10/19,1243.0,5
10230,30/10/19,1243.0,5
10230,31/10/19,1243.0,6
10230,01/11/19,1243.0,4
10230,02/11/19,1243.0,4
10230,03/11/19,1243.0,3
10230,04/11/19,1221.0,3
10230,05/11/19,1221.0,5
10230,06/11/19,1221.0,6
10230,07/11/19,1221.0,5
10230,08/11/19,1221.0,5
10230,09/11/19,1221.0,4
10230,10/11/19,1221.0,5
10230,11/11/19,1228.0,4
10230,12/11/19,1228.0,5
10230,13/11/19,1228.0,4
10230,14/11/19,1228.0,5
10230,15/11/19,1228.0,4
10230,16/11/19,1228.0,5
10230,17/11/19,1228.0,6
10230,18/11/19,1228.0,5
10230,19/11/19,1228.0,6
10230,20/11/19,1228.0,4
10230,21/11/19,1228.0,5
10230,22/11/19,1228.0,5
10230,23/11/19,1228.0,5
10230,24/11/19,1228.0,5
10230,25/11/19,1234.0,7
10230,26/11/19,1234.0,6
10230,27/11/19,1234.0,5
10230,28/11/19,1234.0,4
10230,29/11/19,1234.0,6
10230,30/11/19,1234.0,5
10290,20/02/18,947.0,3
10290,21/02/18,947.0,2
10290,22/02/18,947.0,2
10290,23/02/18,947.0,2
10290,24/02/18,947.0,2
10290,25/02/18,947.0,2
10290,26/02/18,952.0,3
10290,27/02/18,952.0,2
10290,28/02/18,952.0,3
10290,01/03/18,952.0,1
10290,02/03/18,952.0,2
10290,03/03/18,952.0,2
10290,04/03/18,952.0,1
10290,05/03/18,953.0,2
10290,06/03/18,953.0,3
10290,07/03/18,953.0,3
10290,08/03/18,953.0,3
10290,09/03/18,953.0,3
10290,10/03/18,953.0,1
10290,11/03/18,953.0,2
10290,12/03/18,947.0,2
10290,13/03/18,947.0,4
10290,15/03/18,947.0,1
10290,16/03/18,947.0,2
10290,17/03/18,947.0,2
10290,18/03/18,947.0,3
10290,19/03/18,940.0,1
10290,20/03/18,940.0,1
10290,21/03/18,940.0,2
10290,22/03/18,940.0,3
10290,23/03/18,940.0,2
10290,24/03/18,940.0,3
10290,25/03/18,940.0,2
10290,26/03/18,949.0,4
10290,27/03/18,949.0,3
10290,28/03/18,949.0,2
10290,29/03/18,949.0,2
10290,31/03/18,949.0,2
10290,01/04/18,949.0,1
10290,02/04/18,953.0,3
10290,03/04/18,953.0,3
10290,04/04/18,953.0,4
10290,05/04/18,953.0,2
10290,06/04/18,953.0,2
10290,07/04/18,953.0,2
10290,08/04/18,953.0,4
10290,09/04/18,958.0,3
10290,10/04/18,958.0,2
10290,11/04/18,958.0,2
10290,12/04/18,958.0,2
10290,13/04/18,958.0,2
10290,14/04/18,958.0,3
10290,15/04/18,958.0,1
10290,16/04/18,949.0,2
10290,17/04/18,949.0,4
10290,18/04/18,949.0,1
10290,19/04/18,949.0,2
10290,20/04/18,949.0,3
10290,21/04/18,949.0,3
10290,22/04/18,949.0,1
10290,23/04/18,960.0,2
10290,24/04/18,960.0,3
10290,25/04/18,960.0,2
10290,26/04/18,960.0,2
10290,27/04/18,960.0,2
10290,28/04/18,960.0,3
10290,29/04/18,960.0,1
10290,30/04/18,952.0,2
10290,01/05/18,952.0,2
10290,02/05/18,952.0,4
10290,03/05/18,952.0,4
10290,04/05/18,952.0,3
10290,05/05/18,952.0,1
10290,06/05/18,952.0,2
10290,07/05/18,940.0,2
10290,08/05/18,940.0,2
10290,09/05/18,940.0,1
10290,11/05/18,940.0,1
10290,12/05/18,940.0,2
10290,13/05/18,940.0,2
10290,14/05/18,933.0,2
10290,15/05/18,933.0,3
10290,16/05/18,933.0,1
10290,17/05/18,933.0,2
10290,18/05/18,933.0,1
10290,19/05/18,933.0,3
10290,20/05/18,933.0,1
10290,21/05/18,945.0,1
10290,22/05/18,945.0,2
10290,23/05/18,945.0,4
10290,24/05/18,945.0,1
10290,25/05/18,945.0,1
10290,26/05/18,945.0,2
10290,27/05/18,945.0,2
10290,28/05/18,946.0,2
10290,29/05/18,946.0,2
10290,30/05/18,946.0,2
10290,31/05/18,946.0,2
10290,01/06/18,946.0,3
10290,02/06/18,946.0,2
10290,03/06/18,946.0,2
10290,04/06/18,958.0,4
10290,05/06/18,958.0,2
10290,06/06/18,958.0,3
10290,07/06/18,958.0,2
10290,09/06/18,958.0,2
10290,10/06/18,958.0,3
10290,11/06/18,965.0,2
10290,12/06/18,965.0,3
10290,13/06/18,965.0,1
10290,14/06/18,965.0,2
10290,15/06/18,965.0,3
10290,16/06/18,965.0,1
10290,17/06/18,965.0,2
10290,18/06/18,940.0,2
10290,19/06/18,940.0,2
10290,20/06/18,940.0,3
10290,21/06/18,940.0,2
10290,24/06/18,940.0,2
10290,25/06/18,936.0,1
10290,26/06/18,936.0,3
10290,27/06/18,936.0,1
10290,28/06/18,936.0,2
10290,29/06/18,936.0,1
10290,30/06/18,936.0,1
10290,01/07/18,936.0,2
10290,02/07/18,951.0,2
10290,03/07/18,951.0,3
10290,04/07/18,951.0,2
10290,05/07/18,951.0,2
10290,06/07/18,951.0,3
10290,07/07/18,951.0,2
10290,08/07/18,951.0,2
10290,09/07/18,954.0,2
10290,10/07/18,954.0,2
10290,11/07/18,954.0,2
10290,12/07/18,954.0,2
10290,13/07/18,954.0,2
10290,14/07/18,954.0,2
10290,15/07/18,954.0,2
10290,16/07/18,944.0,2
10290,18/07/18,944.0,2
10290,19/07/18,944.0,3
10290,20/07/18,944.0,2
10290,21/07/18,944.0,2
10290,22/07/18,944.0,1
10290,23/07/18,947.0,2
10290,24/07/18,947.0,2
10290,25/07/18,947.0,2
10290,26/07/18,947.0,1
10290,27/07/18,947.0,1
10290,28/07/18,947.0,4
10290,29/07/18,947.0,3
10290,30/07/18,955.0,3
10290,31/07/18,955.0,1
10290,01/08/18,955.0,2
10290,02/08/18,955.0,1
10290,04/08/18,955.0,2
10290,05/08/18,955.0,2
10290,07/08/18,954.0,3
10290,08/08/18,954.0,1
10290,09/08/18,954.0,2
10290,10/08/18,954.0,2
10290,11/08/18,954.0,3
10290,12/08/18,954.0,4
10290,13/08/18,957.0,2
10290,14/08/18,957.0,2
10290,15/08/18,957.0,2
10290,16/08/18,957.0,1
10290,17/08/18,957.0,1
10290,18/08/18,957.0,2
10290,19/08/18,957.0,4
10290,20/08/18,959.0,2
10290,21/08/18,959.0,2
10290,22/08/18,959.0,2
10290,23/08/18,959.0,1
10290,24/08/18,959.0,2
10290,26/08/18,959.0,2
10290,27/08/18,948.0,2
10290,28/08/18,948.0,3
10290,29/08/18,948.0,2
10290,30/08/18,948.0,1
10290,31/08/18,948.0,2
10290,01/09/18,948.0,2
10290,02/09/18,948.0,2
10290,03/09/18,952.0,1
10290,04/09/18,952.0,2
10290,05/09/18,952.0,4
10290,06/09/18,952.0,1
10290,07/09/18,952.0,2
10290,08/09/18,952.0,3
10290,09/09/18,952.0,2
10290,10/09/18,965.0,3
10290,11/09/18,965.0,2
10290,12/09/18,965.0,2
10290,13/09/18,965.0,2
10290,14/09/18,965.0,2
10290,15/09/18,965.0,3
10290,17/09/18,957.0,2
10290,18/09/18,957.0,2
10290,19/09/18,957.0,3
10290,20/09/18,957.0,1
10290,21/09/18,957.0,2
10290,22/09/18,957.0,2
10290,23/09/18,957.0,2
10290,24/09/18,953.0,2
10290,25/09/18,953.0,2
